sport,date,season,home_team,away_team,home_odds_open,home_odds_close,away_odds_open,away_odds_close,total_open,total_close,who_shortened,totals_direction,fav_side,elo_gap_proxy,home_move_pct,away_move_pct,result_margin
AFL,2026-04-25,2026,Hawthorn,Gold Coast,1.45,1.65,2.6,2.25,182.5,208.5,AWAY,OVERS,HOME,0.284,13.79,-13.46,49.0
AFL,2026-04-24,2026,Richmond,Melbourne,3.7,6.0,1.25,1.13,187.5,183.5,AWAY,UNDERS,AWAY,-0.4949,62.16,-9.6,-54.0
AFL,2026-04-23,2026,Western Bulldogs,Sydney,1.8,3.0,1.95,1.4,188.5,188.5,AWAY,EVEN,HOME,0.04,66.67,-28.21,-66.0
AFL,2026-04-19,2026,West Coast,Fremantle,6.5,7.5,1.09,1.09,185.5,185.5,BOTH_OR_NEITHER,EVEN,AWAY,-0.7128,15.38,0.0,-56.0
AFL,2026-04-19,2026,Melbourne,Brisbane,2.95,4.0,1.37,1.25,189.5,189.5,AWAY,EVEN,AWAY,-0.3657,35.59,-8.76,2.0
AFL,2026-04-19,2026,North Melbourne,Richmond,1.29,1.21,3.4,4.35,179.5,182.5,HOME,OVERS,HOME,0.4499,-6.2,27.94,75.0
AFL,2026-04-18,2026,Adelaide,St Kilda,1.36,1.65,3.0,2.25,176.5,174.5,AWAY,UNDERS,HOME,0.3761,21.32,-25.0,1.0
AFL,2026-04-18,2026,Hawthorn,Port Adelaide,1.11,1.1,6.0,7.0,183.5,183.5,HOME,EVEN,HOME,0.6878,-0.9,16.67,3.0
AFL,2026-04-18,2026,Gold Coast,Essendon,1.04,1.1,9.25,7.0,189.5,189.5,AWAY,EVEN,HOME,0.7979,5.77,-24.32,9.0
AFL,2026-04-17,2026,Sydney,GWS Giants,1.32,1.25,3.2,4.0,180.5,170.5,HOME,UNDERS,HOME,0.4159,-5.3,25.0,41.0
AFL,2026-04-17,2026,Geelong,Western Bulldogs,1.65,1.55,2.25,2.45,187.5,185.5,HOME,UNDERS,HOME,0.1538,-6.06,8.89,75.0
AFL,2026-04-16,2026,Carlton,Collingwood,2.6,2.35,1.46,1.6,160.5,149.5,HOME,UNDERS,AWAY,-0.2808,-9.62,9.59,-5.0
AFL,2026-04-12,2026,Port Adelaide,St Kilda,2.15,2.23,1.65,1.65,175.5,170.5,BOTH_OR_NEITHER,UNDERS,AWAY,-0.1316,3.72,0.0,-14.0
AFL,2026-04-12,2026,GWS Giants,Richmond,1.18,1.11,4.5,6.5,179.5,172.5,HOME,UNDERS,HOME,0.5845,-5.93,44.44,56.0
AFL,2026-04-12,2026,Geelong,West Coast,1.1,1.08,6.25,8.0,190.5,192.5,HOME,OVERS,HOME,0.7007,-1.82,28.0,46.0
AFL,2026-04-11,2026,Hawthorn,Western Bulldogs,2.05,1.6,1.7,2.35,184.5,179.5,HOME,UNDERS,AWAY,-0.0933,-21.95,38.24,40.0
AFL,2026-04-11,2026,Sydney,Gold Coast,2.1,1.74,1.68,2.1,194.5,189.5,HOME,UNDERS,AWAY,-0.1111,-17.14,25.0,32.0
AFL,2026-04-11,2026,Essendon,Melbourne,3.3,4.0,1.3,1.25,187.5,179.5,AWAY,UNDERS,AWAY,-0.4348,21.21,-3.85,45.0
AFL,2026-04-11,2026,North Melbourne,Brisbane,4.8,6.2,1.16,1.12,191.5,188.5,AWAY,UNDERS,AWAY,-0.6107,29.17,-3.45,-26.0
AFL,2026-04-10,2026,Collingwood,Fremantle,2.25,2.7,1.6,1.47,173.5,162.5,AWAY,UNDERS,AWAY,-0.1688,20.0,-8.13,-6.0
AFL,2026-04-09,2026,Adelaide,Carlton,1.23,1.15,3.9,5.5,169.5,166.5,HOME,UNDERS,HOME,0.5205,-6.5,41.03,28.0
AFL,2026-04-06,2026,Hawthorn,Geelong,1.55,1.75,2.45,2.1,184.5,185.5,AWAY,OVERS,HOME,0.225,12.9,-14.29,1.0
AFL,2026-04-05,2026,Western Bulldogs,Essendon,1.01,1.01,15.0,17.0,189.5,192.5,BOTH_OR_NEITHER,OVERS,HOME,0.8738,0.0,13.33,34.0
AFL,2026-04-05,2026,Melbourne,Gold Coast,3.45,3.5,1.28,1.3,183.5,191.5,BOTH_OR_NEITHER,OVERS,AWAY,-0.4588,1.45,1.56,20.0
AFL,2026-04-04,2026,West Coast,Sydney,4.5,5.0,1.18,1.17,181.5,182.5,AWAY,OVERS,AWAY,-0.5845,11.11,-0.85,-128.0
AFL,2026-04-04,2026,Richmond,Port Adelaide,2.45,2.8,1.51,1.44,179.5,177.5,AWAY,UNDERS,AWAY,-0.2374,14.29,-4.64,-42.0
AFL,2026-04-03,2026,Adelaide,Fremantle,1.7,2.25,2.05,1.65,179.5,173.5,AWAY,UNDERS,HOME,0.0933,32.35,-19.51,-2.0
AFL,2026-04-03,2026,North Melbourne,Carlton,2.05,2.2,1.73,1.67,175.5,180.5,AWAY,OVERS,AWAY,-0.0847,7.32,-3.47,10.0
AFL,2026-04-02,2026,Brisbane,Collingwood,1.37,1.33,2.95,3.35,178.5,176.5,HOME,UNDERS,HOME,0.3657,-2.92,13.56,54.0
AFL,2026-03-29,2026,Carlton,Melbourne,2.0,2.0,1.8,1.8,170.5,181.5,BOTH_OR_NEITHER,OVERS,AWAY,-0.0526,0.0,0.0,-23.0
AFL,2026-03-29,2026,Port Adelaide,West Coast,1.19,1.24,4.6,4.1,190.5,190.5,AWAY,EVEN,HOME,0.5889,4.2,-10.87,-2.0
AFL,2026-03-28,2026,Essendon,North Melbourne,2.55,2.85,1.5,1.43,182.5,188.5,AWAY,OVERS,AWAY,-0.2593,11.76,-4.67,-12.0
AFL,2026-03-28,2026,Fremantle,Richmond,1.07,1.03,8.0,13.0,168.5,162.5,HOME,UNDERS,HOME,0.7641,-3.74,62.5,60.0
AFL,2026-03-28,2026,St Kilda,Brisbane,2.45,2.3,1.55,1.62,185.5,188.5,HOME,OVERS,AWAY,-0.225,-6.12,4.52,-33.0
AFL,2026-03-27,2026,Collingwood,GWS Giants,1.61,1.4,2.2,3.0,177.5,177.5,HOME,EVEN,HOME,0.1549,-13.04,36.36,33.0
AFL,2026-03-26,2026,Geelong,Adelaide,1.51,1.23,2.45,4.2,176.5,167.5,HOME,UNDERS,HOME,0.2374,-18.54,71.43,8.0
AFL,2026-03-22,2026,West Coast,North Melbourne,2.4,2.75,1.57,1.45,179.5,184.5,AWAY,OVERS,AWAY,-0.2091,14.58,-7.64,17.0
AFL,2026-03-22,2026,Port Adelaide,Essendon,1.37,1.42,3.05,2.9,186.5,185.5,AWAY,UNDERS,HOME,0.3801,3.65,-4.92,63.0
AFL,2026-03-21,2026,Fremantle,Melbourne,1.32,1.32,3.35,3.4,188.5,192.5,BOTH_OR_NEITHER,OVERS,HOME,0.4347,0.0,1.49,48.0
AFL,2026-03-21,2026,GWS Giants,St Kilda,1.45,1.6,2.7,2.35,183.5,183.5,AWAY,EVEN,HOME,0.3012,10.34,-12.96,-4.0
