Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HY,AY,HR,AR,Season,home_card_pts,away_card_pts
2014-10-25,Leeds,Wolves,D Webb,1.0,2.0,A,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-10-31,Norwich,Bolton,G Scott,2.0,1.0,H,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-11-01,Wolves,Birmingham,A Taylor,0.0,0.0,D,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-11-01,Wigan,Fulham,J Adcock,3.0,3.0,D,2.0,1.0,1.0,1.0,2014/15,4.0,3.0
2014-11-01,Watford,Millwall,R Madley,3.0,1.0,H,1.0,5.0,0.0,0.0,2014/15,1.0,5.0
2014-11-01,Rotherham,Middlesbrough,M Russell,0.0,3.0,A,2.0,0.0,1.0,0.0,2014/15,4.0,0.0
2014-11-01,Huddersfield,Nott'm Forest,A Davies,3.0,0.0,H,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-11-01,Cardiff,Leeds,A Woolmer,3.0,1.0,H,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-11-01,Brentford,Derby,C Berry,2.0,1.0,H,3.0,4.0,0.0,0.0,2014/15,3.0,4.0
2014-11-01,Bournemouth,Brighton,K Stroud,3.0,2.0,H,3.0,5.0,0.0,0.0,2014/15,3.0,5.0
2014-11-01,Blackpool,Ipswich,A Haines,0.0,2.0,A,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-11-01,Blackburn,Reading,C Boyeson,3.0,1.0,H,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-11-01,Charlton,Sheffield Weds,A D'Urso,1.0,1.0,D,0.0,0.0,0.0,0.0,2014/15,0.0,0.0
2014-11-04,Middlesbrough,Norwich,N Miller,4.0,0.0,H,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-11-04,Sheffield Weds,Bournemouth,M Dean,0.0,2.0,A,1.0,0.0,1.0,0.0,2014/15,3.0,0.0
2014-11-04,Millwall,Blackburn,D Deadman,2.0,2.0,D,2.0,1.0,1.0,0.0,2014/15,4.0,1.0
2014-11-04,Leeds,Charlton,G Salisbury,2.0,2.0,D,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-11-04,Reading,Rotherham,P Miller,3.0,0.0,H,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-11-04,Derby,Huddersfield,K Hill,3.0,2.0,H,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-11-04,Brighton,Wigan,L Collins,1.0,0.0,H,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-11-04,Bolton,Cardiff,G Eltringham,3.0,0.0,H,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-11-04,Ipswich,Wolves,A Madley,2.0,1.0,H,3.0,2.0,0.0,0.0,2014/15,3.0,2.0
2014-11-04,Birmingham,Watford,M Heywood,2.0,1.0,H,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-11-05,Fulham,Blackpool,R Madley,2.0,2.0,D,2.0,3.0,0.0,1.0,2014/15,2.0,5.0
2014-11-05,Nott'm Forest,Brentford,M Haywood,1.0,3.0,A,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-11-07,Bolton,Wigan,S Duncan,3.0,1.0,H,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-11-08,Sheffield Weds,Rotherham,N Miller,0.0,0.0,D,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-11-08,Reading,Charlton,N Swarbrick,0.0,1.0,A,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-11-08,Nott'm Forest,Norwich,A Madley,2.0,1.0,H,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-11-08,Millwall,Brentford,J Adcock,2.0,3.0,A,3.0,2.0,0.0,0.0,2014/15,3.0,2.0
2014-11-08,Middlesbrough,Bournemouth,S Hooper,0.0,0.0,D,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-11-08,Ipswich,Watford,E Ilderton,1.0,0.0,H,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-11-08,Fulham,Huddersfield,A Woolmer,3.0,1.0,H,3.0,0.0,0.0,0.0,2014/15,3.0,0.0
2014-11-08,Derby,Wolves,G Salisbury,5.0,0.0,H,1.0,4.0,0.0,0.0,2014/15,1.0,4.0
2014-11-08,Brighton,Blackburn,M Haywood,1.0,1.0,D,2.0,4.0,0.0,0.0,2014/15,2.0,4.0
2014-11-08,Birmingham,Cardiff,K Friend,0.0,0.0,D,1.0,4.0,1.0,0.0,2014/15,3.0,4.0
2014-11-08,Leeds,Blackpool,S Attwell,3.0,1.0,H,1.0,0.0,0.0,0.0,2014/15,1.0,0.0
2014-11-21,Brentford,Fulham,D Coote,2.0,1.0,H,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-11-21,Cardiff,Reading,J Linington,2.0,1.0,H,1.0,2.0,0.0,1.0,2014/15,1.0,4.0
2014-11-22,Rotherham,Birmingham,D Bond,0.0,1.0,A,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-11-22,Wolves,Nott'm Forest,P Tierney,0.0,3.0,A,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-11-22,Wigan,Middlesbrough,D Webb,1.0,1.0,D,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-11-22,Watford,Derby,K Stroud,1.0,2.0,A,4.0,1.0,0.0,0.0,2014/15,4.0,1.0
2014-11-22,Norwich,Brighton,G Eltringham,3.0,3.0,D,2.0,2.0,1.0,0.0,2014/15,4.0,2.0
2014-11-22,Charlton,Millwall,G Scott,0.0,0.0,D,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-11-22,Bournemouth,Ipswich,M Bull,2.0,2.0,D,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-11-22,Blackpool,Bolton,N Miller,1.0,1.0,D,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-11-22,Blackburn,Leeds,K Wright,2.0,1.0,H,1.0,2.0,1.0,0.0,2014/15,3.0,2.0
2014-11-22,Huddersfield,Sheffield Weds,G Salisbury,0.0,0.0,D,1.0,4.0,0.0,0.0,2014/15,1.0,4.0
