round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
13,2026-06-06,Gold Coast Suns v Brisbane Lions,Brisbane Lions,away,0.4115226337448559,0.3658536585365854,0.04566897520827051,2.6,0.06995884773662553,W,1.6
13,2026-06-06,North Melbourne Kangaroos v Fremantle Dockers,North Melbourne Kangaroos,home,0.22675736961451246,0.23809523809523808,-0.011337868480725627,4.0,-0.09297052154195018,L,-1.0
13,2026-06-06,North Melbourne Kangaroos v Fremantle Dockers,Fremantle Dockers,away,0.7751937984496123,0.7619047619047619,0.013289036544850474,1.25,-0.03100775193798455,W,0.25
13,2026-06-06,West Coast Eagles v Port Adelaide Power,West Coast Eagles,home,0.23923444976076558,0.43152454780361754,-0.19229009804285196,2.2,-0.4736842105263157,L,-1.0
13,2026-06-06,West Coast Eagles v Port Adelaide Power,Port Adelaide Power,away,0.7633587786259541,0.5684754521963824,0.19488332642957173,1.67,0.2748091603053433,W,0.6699999999999999
13,2026-06-07,Essendon Bombers v Carlton Blues,Essendon Bombers,home,0.2717391304347826,0.18962722852512157,0.08211190190966103,5.0,0.3586956521739131,L,-1.0
13,2026-06-07,Essendon Bombers v Carlton Blues,Carlton Blues,away,0.7299270072992701,0.8103727714748785,-0.08044576417560845,1.17,-0.14598540145985406,W,0.16999999999999993
13,2026-06-07,Sydney Swans v St Kilda Saints,Sydney Swans,home,0.9345794392523364,0.7996632996632997,0.1349161395890367,1.19,0.11214953271028039,W,0.18999999999999995
13,2026-06-07,Sydney Swans v St Kilda Saints,St Kilda Saints,away,0.06548788474132286,0.20033670033670034,-0.13484881559537748,4.75,-0.6889325474787165,L,-1.0
13,2026-06-08,Collingwood Magpies v Melbourne Demons,Collingwood Magpies,home,0.7246376811594204,0.5,0.2246376811594204,1.9,0.37681159420289867,L,-1.0
13,2026-06-08,Collingwood Magpies v Melbourne Demons,Melbourne Demons,away,0.27548209366391185,0.5,-0.22451790633608815,1.9,-0.47658402203856753,W,0.8999999999999999
14,2026-06-11,Western Bulldogs v Adelaide Crows,Western Bulldogs,home,0.41841004184100417,0.5769230769230769,-0.1585130350820727,1.65,-0.3096234309623431,L,-1.0
14,2026-06-11,Western Bulldogs v Adelaide Crows,Adelaide Crows,away,0.5813953488372093,0.423076923076923,0.15831842576028632,2.25,0.30813953488372103,W,1.25
14,2026-06-12,Geelong Cats v Gold Coast Suns,Geelong Cats,home,0.8474576271186441,0.7843137254901962,0.06314390162844796,1.21,0.025423728813559476,W,0.20999999999999996
14,2026-06-12,Geelong Cats v Gold Coast Suns,Gold Coast Suns,away,0.15360983102918588,0.21568627450980393,-0.062076443480618054,4.4,-0.32411674347158204,L,-1.0
14,2026-06-13,Melbourne Demons v Essendon Bombers,Melbourne Demons,home,0.8333333333333334,0.8059210526315791,0.027412280701754277,1.18,-0.01666666666666672,W,0.17999999999999994
14,2026-06-13,Melbourne Demons v Essendon Bombers,Essendon Bombers,away,0.16583747927031509,0.19407894736842105,-0.02824146809810596,4.9,-0.18739635157545598,L,-1.0
14,2026-06-13,North Melbourne Kangaroos v West Coast Eagles,North Melbourne Kangaroos,home,0.7751937984496123,0.6547619047619047,0.12043189368770768,1.45,0.12403100775193776,W,0.44999999999999996
14,2026-06-13,North Melbourne Kangaroos v West Coast Eagles,West Coast Eagles,away,0.2232142857142857,0.3452380952380952,-0.12202380952380948,2.75,-0.3861607142857143,L,-1.0
14,2026-06-13,Port Adelaide Power v Sydney Swans,Port Adelaide Power,home,0.32679738562091504,0.33962264150943394,-0.012825255888518905,2.8,-0.08496732026143794,L,-1.0
14,2026-06-13,Port Adelaide Power v Sydney Swans,Sydney Swans,away,0.6756756756756757,0.660377358490566,0.015298317185109656,1.44,-0.027027027027027084,W,0.43999999999999995
14,2026-06-14,Richmond Tigers v Brisbane Lions,Richmond Tigers,home,0.1984126984126984,0.09502262443438914,0.10339007397830927,10.0,0.984126984126984,L,-1.0
14,2026-06-14,Richmond Tigers v Brisbane Lions,Brisbane Lions,away,0.8,0.9049773755656108,-0.10497737556561071,1.05,-0.15999999999999992,W,0.050000000000000044
14,2026-06-14,St Kilda Saints v Greater Western Sydney Giants,St Kilda Saints,home,0.3676470588235294,0.48684210526315796,-0.11919504643962858,1.95,-0.28308823529411775,W,0.95
14,2026-06-14,St Kilda Saints v Greater Western Sydney Giants,Greater Western Sydney Giants,away,0.6329113924050632,0.513157894736842,0.11975349766822119,1.85,0.1708860759493671,L,-1.0
15,2026-06-18,Fremantle Dockers v Geelong Cats,Fremantle Dockers,home,0.6622516556291391,0.712742980561555,-0.050491324932415926,1.33,-0.11920529801324486,W,0.33000000000000007
15,2026-06-18,Fremantle Dockers v Geelong Cats,Geelong Cats,away,0.3401360544217687,0.28725701943844495,0.05287903498332375,3.3,0.12244897959183665,L,-1.0
15,2026-06-19,Gold Coast Suns v Hawthorn Hawks,Gold Coast Suns,home,0.4065040650406504,0.40506329113924056,0.001440773901409842,2.35,-0.04471544715447151,L,-1.0
15,2026-06-19,Gold Coast Suns v Hawthorn Hawks,Hawthorn Hawks,away,0.591715976331361,0.5949367088607596,-0.0032207325293985845,1.6,-0.053254437869822424,W,0.6000000000000001
15,2026-06-20,Adelaide Crows v Melbourne Demons,Adelaide Crows,home,0.8130081300813008,0.7080610021786492,0.1049471279026516,1.34,0.08943089430894302,W,0.3400000000000001
15,2026-06-20,Adelaide Crows v Melbourne Demons,Melbourne Demons,away,0.18867924528301888,0.2919389978213508,-0.10325975253833192,3.25,-0.3867924528301886,L,-1.0
15,2026-06-20,Collingwood Magpies v Port Adelaide Power,Collingwood Magpies,home,0.7692307692307692,0.6125,0.15673076923076912,1.55,0.1923076923076923,W,0.55
15,2026-06-20,Collingwood Magpies v Port Adelaide Power,Port Adelaide Power,away,0.22831050228310504,0.3875,-0.15918949771689497,2.45,-0.44063926940639264,L,-1.0
15,2026-06-20,Greater Western Sydney Giants v Carlton Blues,Greater Western Sydney Giants,home,0.7936507936507936,0.7361963190184049,0.05745447463238873,1.29,0.023809523809523725,L,-1.0
15,2026-06-20,Greater Western Sydney Giants v Carlton Blues,Carlton Blues,away,0.20491803278688525,0.2638036809815951,-0.05888564819470987,3.6,-0.2622950819672131,W,2.6
15,2026-06-21,Richmond Tigers v North Melbourne Kangaroos,Richmond Tigers,home,0.3021148036253776,0.2638036809815951,0.0383111226437825,3.6,0.08761329305135956,L,-1.0
15,2026-06-21,Richmond Tigers v North Melbourne Kangaroos,North Melbourne Kangaroos,away,0.6993006993006994,0.7361963190184049,-0.0368956197177055,1.29,-0.0979020979020978,W,0.29000000000000004
15,2026-06-21,St Kilda Saints v Western Bulldogs,St Kilda Saints,home,0.4484304932735426,0.5263157894736842,-0.07788529620014156,1.8,-0.19282511210762332,L,-1.0
15,2026-06-21,St Kilda Saints v Western Bulldogs,Western Bulldogs,away,0.5524861878453039,0.47368421052631576,0.07880197731898814,2.0,0.1049723756906078,W,1.0
16,2026-06-25,Brisbane Lions v Sydney Swans,Brisbane Lions,home,0.5235602094240838,0.513157894736842,0.010402314687241732,1.85,-0.03141361256544495,W,0.8500000000000001
16,2026-06-25,Brisbane Lions v Sydney Swans,Sydney Swans,away,0.47619047619047616,0.48684210526315796,-0.0106516290726818,1.95,-0.07142857142857151,L,-1.0
16,2026-06-27,Carlton Blues v West Coast Eagles,Carlton Blues,home,0.8064516129032259,0.8415147265077139,-0.035063113604487994,1.13,-0.08870967741935487,W,0.1299999999999999
16,2026-06-27,Carlton Blues v West Coast Eagles,West Coast Eagles,away,0.1953125,0.15848527349228608,0.03682722650771392,6.0,0.171875,L,-1.0
16,2026-06-26,Hawthorn Hawks v Greater Western Sydney Giants,Hawthorn Hawks,home,0.78125,0.7509881422924901,0.030261857707509887,1.26,-0.015625,W,0.26
16,2026-06-26,Hawthorn Hawks v Greater Western Sydney Giants,Greater Western Sydney Giants,away,0.2183406113537118,0.24901185770750986,-0.03067124635379806,3.8,-0.17030567685589515,L,-1.0
16,2026-06-27,Collingwood Magpies v Richmond Tigers,Collingwood Magpies,home,0.8849557522123894,0.8541392904073586,0.030816461805030837,1.11,-0.017699115044247704,W,0.1100000000000001
16,2026-06-27,Collingwood Magpies v Richmond Tigers,Richmond Tigers,away,0.11286681715575622,0.14586070959264127,-0.03299389243688505,6.5,-0.2663656884875846,L,-1.0
16,2026-06-27,Port Adelaide Power v Adelaide Crows,Port Adelaide Power,home,0.2577319587628866,0.2525252525252525,0.00520670623763414,3.7,-0.04639175257731942,W,2.7
16,2026-06-27,Port Adelaide Power v Adelaide Crows,Adelaide Crows,away,0.7407407407407407,0.7474747474747475,-0.006734006734006814,1.25,-0.07407407407407418,L,-1.0
16,2026-06-28,Fremantle Dockers v Gold Coast Suns,Fremantle Dockers,home,0.8695652173913044,0.7922535211267606,0.07731169626454382,1.18,0.026086956521739202,W,0.17999999999999994
16,2026-06-28,Fremantle Dockers v Gold Coast Suns,Gold Coast Suns,away,0.12853470437017994,0.2077464788732394,-0.07921177450305947,4.5,-0.4215938303341903,L,-1.0
16,2026-06-28,North Melbourne Kangaroos v Essendon Bombers,North Melbourne Kangaroos,home,0.7936507936507936,0.6547619047619047,0.13888888888888895,1.45,0.1507936507936507,W,0.44999999999999996
16,2026-06-28,North Melbourne Kangaroos v Essendon Bombers,Essendon Bombers,away,0.20920502092050208,0.3452380952380952,-0.1360330743175931,2.75,-0.4246861924686193,L,-1.0
17,2026-07-02,Geelong Cats v Brisbane Lions,Geelong Cats,home,0.7936507936507936,0.6474820143884892,0.14616877926230443,1.47,0.16666666666666652,L,-1.0
17,2026-07-02,Geelong Cats v Brisbane Lions,Brisbane Lions,away,0.2040816326530612,0.35251798561151076,-0.14843635295844956,2.7,-0.44897959183673475,W,1.7000000000000002
17,2026-07-03,Sydney Swans v Western Bulldogs,Sydney Swans,home,0.8,0.660377358490566,0.13962264150943404,1.44,0.1519999999999999,W,0.43999999999999995
17,2026-07-03,Sydney Swans v Western Bulldogs,Western Bulldogs,away,0.19920318725099603,0.33962264150943394,-0.1404194542584379,2.8,-0.4422310756972111,L,-1.0
17,2026-07-03,West Coast Eagles v Adelaide Crows,West Coast Eagles,home,0.15503875968992248,0.1956882255389718,-0.04064946584904933,4.85,-0.24806201550387608,L,-1.0
17,2026-07-03,West Coast Eagles v Adelaide Crows,Adelaide Crows,away,0.8474576271186441,0.8043117744610282,0.043145852657615946,1.18,0.0,W,0.17999999999999994
17,2026-07-04,Gold Coast Suns v Collingwood Magpies,Gold Coast Suns,home,0.5813953488372093,0.586734693877551,-0.005339345040341614,1.62,-0.05813953488372081,L,-1.0
17,2026-07-04,Gold Coast Suns v Collingwood Magpies,Collingwood Magpies,away,0.41841004184100417,0.413265306122449,0.005144735718555171,2.3,-0.03765690376569053,W,1.2999999999999998
17,2026-07-04,Greater Western Sydney Giants v Fremantle Dockers,Greater Western Sydney Giants,home,0.2976190476190476,0.24418604651162792,0.05343300110741969,3.9,0.1607142857142856,W,2.9
17,2026-07-04,Greater Western Sydney Giants v Fremantle Dockers,Fremantle Dockers,away,0.7042253521126761,0.755813953488372,-0.051588601375695875,1.26,-0.11267605633802813,L,-1.0
17,2026-07-04,Hawthorn Hawks v Melbourne Demons,Hawthorn Hawks,home,0.7936507936507936,0.6712962962962963,0.12235449735449733,1.42,0.12698412698412676,L,-1.0
17,2026-07-04,Hawthorn Hawks v Melbourne Demons,Melbourne Demons,away,0.2032520325203252,0.32870370370370366,-0.12545167118337847,2.9,-0.410569105691057,W,1.9
17,2026-07-04,Richmond Tigers v Carlton Blues,Richmond Tigers,home,0.25641025641025644,0.1642651296829971,0.09214512672725933,5.8,0.4871794871794872,L,-1.0
17,2026-07-04,Richmond Tigers v Carlton Blues,Carlton Blues,away,0.7462686567164178,0.8357348703170028,-0.08946621360058493,1.14,-0.14925373134328368,W,0.1399999999999999
17,2026-07-05,Essendon Bombers v St Kilda Saints,Essendon Bombers,home,0.2881844380403458,0.22651933701657456,0.06166510102377126,4.2,0.2103746397694526,L,-1.0
17,2026-07-05,Essendon Bombers v St Kilda Saints,St Kilda Saints,away,0.7092198581560284,0.7734806629834253,-0.06426080482739693,1.23,-0.12765957446808507,W,0.22999999999999998
17,2026-07-05,Port Adelaide Power v North Melbourne Kangaroos,Port Adelaide Power,home,0.5076142131979695,0.660377358490566,-0.1527631452925965,1.44,-0.2690355329949239,W,0.43999999999999995
17,2026-07-05,Port Adelaide Power v North Melbourne Kangaroos,North Melbourne Kangaroos,away,0.49019607843137253,0.33962264150943394,0.15057343692193859,2.8,0.3725490196078429,L,-1.0
18,2026-07-09,Fremantle Dockers v Sydney Swans,Fremantle Dockers,home,0.7874015748031495,0.6658878504672897,0.12151372433585983,1.43,0.1259842519685037,W,0.42999999999999994
18,2026-07-09,Fremantle Dockers v Sydney Swans,Sydney Swans,away,0.21413276231263384,0.33411214953271023,-0.1199793872200764,2.85,-0.3897216274089935,L,-1.0
18,2026-07-10,Collingwood Magpies v North Melbourne Kangaroos,Collingwood Magpies,home,0.7142857142857143,0.683371298405467,0.030914415880247348,1.39,-0.0071428571428572285,W,0.3899999999999999
18,2026-07-10,Collingwood Magpies v North Melbourne Kangaroos,North Melbourne Kangaroos,away,0.28653295128939826,0.316628701594533,-0.030095750305134727,3.0,-0.1404011461318052,L,-1.0
18,2026-07-11,Adelaide Crows v Gold Coast Suns,Adelaide Crows,home,0.7692307692307692,0.7361963190184049,0.033034450212364286,1.29,-0.007692307692307776,W,0.29000000000000004
18,2026-07-11,Adelaide Crows v Gold Coast Suns,Gold Coast Suns,away,0.22779043280182235,0.2638036809815951,-0.03601324817977278,3.6,-0.17995444191343957,L,-1.0
18,2026-07-11,Carlton Blues v Hawthorn Hawks,Carlton Blues,home,0.2881844380403458,0.413265306122449,-0.12508086808210317,2.3,-0.33717579250720464,L,-1.0
18,2026-07-11,Carlton Blues v Hawthorn Hawks,Hawthorn Hawks,away,0.7092198581560284,0.586734693877551,0.12248516427847744,1.62,0.14893617021276606,W,0.6200000000000001
18,2026-07-11,Greater Western Sydney Giants v Geelong Cats,Greater Western Sydney Giants,home,0.30303030303030304,0.44155844155844154,-0.1385281385281385,2.15,-0.3484848484848485,W,1.15
18,2026-07-11,Greater Western Sydney Giants v Geelong Cats,Geelong Cats,away,0.6944444444444444,0.5584415584415584,0.13600288600288601,1.7,0.18055555555555558,L,-1.0
18,2026-07-11,St Kilda Saints v Port Adelaide Power,St Kilda Saints,home,0.5747126436781609,0.6125,-0.03778735632183916,1.55,-0.10919540229885061,W,0.55
18,2026-07-11,St Kilda Saints v Port Adelaide Power,Port Adelaide Power,away,0.425531914893617,0.3875,0.038031914893617014,2.45,0.042553191489361764,L,-1.0
18,2026-07-12,Brisbane Lions v Essendon Bombers,Brisbane Lions,home,0.9345794392523364,0.9320905459387483,0.0024888933135881475,1.02,-0.04672897196261683,W,0.020000000000000018
18,2026-07-12,Brisbane Lions v Essendon Bombers,Essendon Bombers,away,0.06230529595015576,0.06790945406125166,-0.005604158111095901,14.0,-0.12772585669781933,L,-1.0
18,2026-07-12,Melbourne Demons v Richmond Tigers,Melbourne Demons,home,0.8620689655172414,0.8641975308641975,-0.002128565346956046,1.1,-0.051724137931034364,W,0.10000000000000009
18,2026-07-12,Melbourne Demons v Richmond Tigers,Richmond Tigers,away,0.1392757660167131,0.13580246913580246,0.003473296880910637,7.0,-0.02506963788300831,L,-1.0
18,2026-07-12,Western Bulldogs v West Coast Eagles,Western Bulldogs,home,0.8928571428571428,0.8415147265077139,0.05134241634942893,1.13,0.008928571428571175,W,0.1299999999999999
18,2026-07-12,Western Bulldogs v West Coast Eagles,West Coast Eagles,away,0.1107419712070875,0.15848527349228608,-0.04774330228519859,6.0,-0.33554817275747506,L,-1.0
19,2026-07-16,Geelong Cats v St Kilda Saints,Geelong Cats,home,0.8264462809917356,0.667447306791569,0.1589989742001665,1.42,0.17355371900826433,W,0.41999999999999993
19,2026-07-16,Geelong Cats v St Kilda Saints,St Kilda Saints,away,0.17035775127768313,0.33255269320843084,-0.1621949419307477,2.85,-0.514480408858603,L,-1.0
19,2026-07-17,Sydney Swans v Adelaide Crows,Sydney Swans,home,0.7692307692307692,0.6728538283062646,0.09637694092450455,1.41,0.08461538461538454,L,-1.0
19,2026-07-17,Sydney Swans v Adelaide Crows,Adelaide Crows,away,0.2293577981651376,0.32714617169373555,-0.09778837352859795,2.9,-0.334862385321101,W,1.9
19,2026-07-18,Collingwood Magpies v Carlton Blues,Collingwood Magpies,home,0.7142857142857143,0.5584415584415584,0.1558441558441559,1.7,0.2142857142857142,W,0.7
