season,match_id,p_model,market_prob,p_blend,bet,edge,odds,actual,profit
2024-25,ucl-2024-25-070,0.56,0.6025316455696202,0.5812658227848102,Under,0.02126582278481004,2.38,Over,-1
2024-25,ucl-2024-25-108,0.551111111111111,0.6368038740920097,0.5939574926015603,Under,0.04284638149044939,2.63,Over,-1
2024-25,ucl-2024-25-130,0.545016077170418,0.4923076923076923,0.5186618847390552,Over,0.02635419243136289,1.98,Over,0.98
2024-25,ucl-2024-25-028,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Over,-1
2024-25,ucl-2024-25-091,0.6198347107438017,0.6563245823389022,0.638079646541352,Under,0.018244935797550155,2.75,Under,1.75
2024-25,ucl-2024-25-040,0.545016077170418,0.6818181818181818,0.6134171294942998,Under,0.06840105232388205,3.0,Under,2.0
2024-25,ucl-2024-25-130,0.545016077170418,0.4516971279373368,0.49835660255387737,Over,0.046659474616540575,2.1,Over,1.1
2024-25,ucl-2024-25-187,0.545016077170418,0.6368038740920097,0.5909099756312138,Under,0.045893898460795834,2.63,Over,-1
2024-25,ucl-2024-25-077,0.56,0.6203473945409429,0.5901736972704714,Under,0.030173697270471478,2.5,Under,1.5
2024-25,ucl-2024-25-104,0.545016077170418,0.586734693877551,0.5658753855239844,Under,0.020859308353566586,2.3,Over,-1
2024-25,ucl-2024-25-153,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Under,1.2000000000000002
2024-25,ucl-2024-25-137,0.545016077170418,0.6563245823389022,0.6006703297546601,Under,0.05565425258424206,2.75,Over,-1
2024-25,ucl-2024-25-062,0.6564102564102564,0.6025316455696202,0.6294709509899383,Over,0.026939305420318083,1.57,Over,0.5700000000000001
2024-25,ucl-2024-25-140,0.6564102564102564,0.4516971279373368,0.5540536921737966,Over,0.10235656423645983,2.1,Under,-1
2024-25,ucl-2024-25-107,0.6564102564102564,0.5263157894736842,0.5913630229419703,Over,0.06504723346828611,1.8,Under,-1
