match_id,home,away,bet,edge,odds,actual,win,profit,bookmaker,path
ucl-2024-25-025,Bayer 04 Leverkusen (GER),AC Milan (ITA),Under,0.2512057877813505,2.75,Under,True,1.75,bet365,/football/europe/champions-league-2024-2025/bayer-leverkusen-ac-milan/C4X1APJa/
ucl-2024-25-172,Bayer 04 Leverkusen (GER),FC Bayern München (GER),Under,-0.044533762057877735,2.1,Under,True,1.1,bet365,/football/europe/champions-league-2024-2025/bayer-leverkusen-bayern-munich/zmGWQL8t/
ucl-2024-25-025,Bayer 04 Leverkusen (GER),AC Milan (ITA),Over,0.14453376205787793,2.1,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/bayer-leverkusen-inter/8UkXtTJc/
ucl-2024-25-081,Bayer 04 Leverkusen (GER),FC Red Bull Salzburg (AUT),Under,0.5014469453376205,3.3,Over,False,-1,duelbits,/football/europe/champions-league-2024-2025/bayer-leverkusen-salzburg/IsCSeQ46/
ucl-2024-25-139,Bayer 04 Leverkusen (GER),AC Sparta Praha (CZE),Under,0.592443729903537,3.5,Under,True,2.5,bet365,/football/europe/champions-league-2024-2025/bayer-leverkusen-sparta-prague/tGcNH7RP/
ucl-2024-25-167,FC Bayern München (GER),Bayer 04 Leverkusen (GER),Over,0.002829581993569086,1.84,Over,True,0.8400000000000001,bet365,/football/europe/champions-league-2024-2025/bayern-munich-bayer-leverkusen/A7aLJ41D/
ucl-2024-25-155,FC Bayern München (GER),Celtic FC (SCO),Under,0.43644444444444486,3.2,Under,True,2.2,bet365,/football/europe/champions-league-2024-2025/bayern-munich-benfica/2JPfZyIl/
ucl-2024-25-155,FC Bayern München (GER),Celtic FC (SCO),Under,0.43644444444444486,3.2,Under,True,2.2,bet365,/football/europe/champions-league-2024-2025/bayern-munich-celtic/hzHaWmWq/
ucl-2024-25-004,FC Bayern München (GER),GNK Dinamo Zagreb (CRO),Under,0.592443729903537,3.5,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/bayern-munich-din-zagreb/WW2NipYF/
ucl-2024-25-077,FC Bayern München (GER),Paris Saint-Germain FC (FRA),Over,0.024800000000000155,1.83,Under,False,-1,bwin,/football/europe/champions-league-2024-2025/bayern-munich-inter/YVVGlgae/
ucl-2024-25-077,FC Bayern München (GER),Paris Saint-Germain FC (FRA),Under,0.09999999999999987,2.5,Under,True,1.5,bet365,/football/europe/champions-league-2024-2025/bayern-munich-psg/n7odw6zK/
ucl-2024-25-134,FC Bayern München (GER),ŠK Slovan Bratislava (SVK),Under,3.54983922829582,10.0,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/bayern-munich-slovan-bratislava/4rMBVgHD/
ucl-2024-25-177,Arsenal FC (ENG),Real Madrid CF (ESP),Over,0.2537435897435898,1.91,Over,True,0.9099999999999999,betway,/football/europe/champions-league-2024-2025/benfica-atl-madrid/CrvNh0hc/
ucl-2024-25-115,Sport Lisboa e Benfica (POR),FC Barcelona (ESP),Under,-0.00015384615384606004,2.91,Over,False,-1,betinasia,/football/europe/champions-league-2024-2025/benfica-barcelona/GdM1Bjn3/
ucl-2024-25-115,Sport Lisboa e Benfica (POR),FC Barcelona (ESP),Over,-0.05476923076923079,1.44,Over,True,0.43999999999999995,bet365,/football/europe/champions-league-2024-2025/benfica-barcelona/WtWCNn2l/
ucl-2024-25-105,Sport Lisboa e Benfica (POR),Bologna FC 1909 (ITA),Over,0.0723140495867769,1.73,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/benfica-bologna/hxY9wOmn/
ucl-2024-25-053,Sport Lisboa e Benfica (POR),Feyenoord Rotterdam (NED),Under,-0.04958677685950419,2.5,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/benfica-feyenoord/tb4iLtYH/
ucl-2024-25-154,Sport Lisboa e Benfica (POR),AS Monaco FC (MCO),Under,0.045454545454545414,2.75,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/benfica-monaco/QPWKwWwA/
ucl-2024-25-111,Bologna FC 1909 (ITA),Borussia Dortmund (GER),Over,0.046430868167202544,1.92,Over,True,0.9199999999999999,bet365,/football/europe/champions-league-2024-2025/bologna-dortmund/YZNY7HuB/
ucl-2024-25-086,Bologna FC 1909 (ITA),Lille OSC (FRA),Over,0.2971382636655948,2.38,Over,True,1.38,bet365,/football/europe/champions-league-2024-2025/bologna-lille/K6Ku6Pp4/
ucl-2024-25-058,Bologna FC 1909 (ITA),AS Monaco FC (MCO),Over,0.11183279742765273,2.04,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/bologna-monaco/tWcB14fB/
ucl-2024-25-007,Bologna FC 1909 (ITA),FK Shakhtar Donetsk (UKR),Over,0.2272727272727273,1.98,Under,False,-1,betsson,/football/europe/champions-league-2024-2025/bologna-shakhtar/dSuJ09iR/
ucl-2024-25-046,Stade Brestois 29 (FRA),Bayer 04 Leverkusen (GER),Under,-0.06728295819935703,2.05,Under,True,1.0499999999999998,bet365,/football/europe/champions-league-2024-2025/brest-bayer-leverkusen/QmZgCokm/
ucl-2024-25-145,Stade Brestois 29 (FRA),Paris Saint-Germain FC (FRA),Over,-0.02685950413223126,1.57,Over,True,0.5700000000000001,bet365,/football/europe/champions-league-2024-2025/brest-psg/b7xfj9NF/
ucl-2024-25-093,Stade Brestois 29 (FRA),PSV (NED),Under,0.0009646302250805316,2.2,Under,True,1.2000000000000002,bet365,/football/europe/champions-league-2024-2025/brest-psv/nJBd2spT/
ucl-2024-25-131,Stade Brestois 29 (FRA),Real Madrid CF (ESP),Under,0.1404958677685948,3.0,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/brest-real-madrid/z1ZQYppR/
ucl-2024-25-016,Stade Brestois 29 (FRA),SK Sturm Graz (AUT),Over,0.11183279742765273,2.04,Over,True,1.04,bet365,/football/europe/champions-league-2024-2025/brest-sturm-graz/niTqG394/
ucl-2024-25-151,Celtic FC (SCO),FC Bayern München (GER),Under,0.18295819935691315,2.6,Over,False,-1,betway,/football/europe/champions-league-2024-2025/celtic-bayern-munich/YkzTyA8M/
ucl-2024-25-088,Celtic FC (SCO),Club Brugge KV (BEL),Over,0.004132231404958775,1.62,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/celtic-club-brugge/dACqdZbk/
ucl-2024-25-062,Celtic FC (SCO),RB Leipzig (GER),Over,0.06338461538461537,1.62,Over,True,0.6200000000000001,bet365,/football/europe/champions-league-2024-2025/celtic-rb-leipzig/CnW9r1Ca/
ucl-2024-25-012,Celtic FC (SCO),ŠK Slovan Bratislava (SVK),Under,0.2512057877813505,2.75,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/celtic-slovan-bratislava/IyJyOc6k/
ucl-2024-25-125,Celtic FC (SCO),BSC Young Boys (SUI),Under,0.35585209003215446,2.98,Under,True,1.98,betsson,/football/europe/champions-league-2024-2025/celtic-young-boys/8Szai5ED/
ucl-2024-25-064,Club Brugge KV (BEL),Aston Villa FC (ENG),Over,0.019180064308681688,1.87,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/club-brugge-aston-villa/4zGifDT1/
ucl-2024-25-064,Club Brugge KV (BEL),Aston Villa FC (ENG),Over,0.09548231511254013,2.01,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/club-brugge-aston-villa/d24uPawg/
ucl-2024-25-149,Club Brugge KV (BEL),Atalanta BC (ITA),Over,0.090032154340836,2.0,Over,True,1.0,bet365,/football/europe/champions-league-2024-2025/club-brugge-atalanta/j5HYrRFk/
ucl-2024-25-011,Club Brugge KV (BEL),Borussia Dortmund (GER),Under,0.05101286173633435,2.31,Over,False,-1,betsafe,/football/europe/champions-league-2024-2025/club-brugge-dortmund/YLr0gIQH/
ucl-2024-25-116,Club Brugge KV (BEL),Juventus FC (ITA),Over,0.19903536977491965,2.2,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/club-brugge-juventus/jVKBa85s/
ucl-2024-25-097,Club Brugge KV (BEL),Sporting Clube de Portugal (POR),Over,-0.018971061093247532,1.8,Over,True,0.8,bet365,/football/europe/champions-league-2024-2025/club-brugge-sporting-cp/SvfL1eyS/
ucl-2024-25-071,FK Crvena Zvezda (SRB),FC Barcelona (ESP),Under,0.4079999999999999,3.2,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/crvena-zvezda-barcelona/8CzB78oS/
ucl-2024-25-014,FK Crvena Zvezda (SRB),Sport Lisboa e Benfica (POR),Over,0.1561538461538461,1.67,Over,True,0.6699999999999999,bet365,/football/europe/champions-league-2024-2025/crvena-zvezda-benfica/xQc0JK2U/
ucl-2024-25-117,FK Crvena Zvezda (SRB),PSV (NED),Under,0.31999999999999984,3.0,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/crvena-zvezda-psv/jTN44C9a/
ucl-2024-25-083,FK Crvena Zvezda (SRB),VfB Stuttgart (GER),Under,0.06835555555555572,2.38,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/crvena-zvezda-vfb-stuttgart/rJ4gBKMq/
ucl-2024-25-141,GNK Dinamo Zagreb (CRO),AC Milan (ITA),Under,0.19660771704180058,2.63,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/din-zagreb-ac-milan/tKuSXJHN/
