season,date,match,side,model_p,price,close,ev,won,pnl,clv
2025/26,2025-11-04,Birmingham v Millwall,UNDER,0.6197543039939883,1.68,1.67,0.04118723070990038,False,-1.0,0.0059880239520957446
2025/26,2025-11-04,Charlton v West Brom,UNDER,0.6773471943861274,1.58,1.48,0.07020856713008139,True,0.5800000000000001,0.06756756756756754
2025/26,2025-11-04,Ipswich v Watford,OVER,0.5810680455915973,1.91,1.85,0.1098399670799508,False,-1.0,0.03243243243243232
2025/26,2025-11-05,Portsmouth v Wrexham,OVER,0.49736360057984763,2.12,2.15,0.05441083322927698,False,-1.0,-0.013953488372092981
2025/26,2025-11-05,QPR v Southampton,OVER,0.539027812751939,1.95,1.86,0.05110423486628113,True,0.95,0.048387096774193505
2025/26,2025-11-08,Millwall v Preston,UNDER,0.6522042022400096,1.62,1.56,0.05657080762881561,True,0.6200000000000001,0.03846153846153855
2025/26,2025-11-08,Blackburn v Derby,UNDER,0.6283285719424643,1.64,1.73,0.030458857985641297,False,-1.0,-0.052023121387283267
2025/26,2025-11-08,Norwich v Leicester,OVER,0.5763691527356418,1.93,1.84,0.1123924647797887,True,0.9299999999999999,0.048913043478260754
2025/26,2025-11-08,Southampton v Sheffield Weds,OVER,0.6686357544327847,1.7,1.67,0.1366807825357339,True,0.7,0.017964071856287456
2025/26,2025-11-22,Leicester v Stoke,UNDER,0.5160565363432126,2.0,1.86,0.03211307268642516,False,-1.0,0.07526881720430101
2025/26,2025-11-22,Oxford v Middlesbrough,OVER,0.499266935449552,2.1,1.99,0.04846056444405922,False,-1.0,0.05527638190954787
2025/26,2025-11-22,Ipswich v Wrexham,OVER,0.5971304537192441,1.88,1.77,0.12260525299217884,False,-1.0,0.062146892655367214
2025/26,2025-11-23,Sheffield Weds v Sheffield United,UNDER,0.56515208270214,1.83,1.89,0.03422831134491622,False,-1.0,-0.03174603174603163
2025/26,2025-11-25,Southampton v Leicester,OVER,0.5936159472166094,1.83,1.81,0.08631718340639516,True,0.8300000000000001,0.011049723756906049
2025/26,2025-11-25,Norwich v Oxford,OVER,0.5709027756517137,1.9,1.87,0.08471527373825594,False,-1.0,0.016042780748662944
2025/26,2025-11-25,Stoke v Charlton,UNDER,0.6230774041853291,1.8,1.64,0.12153932753359231,False,-1.0,0.09756097560975618
2025/26,2025-11-25,Hull v Ipswich,OVER,0.5576736624258035,1.85,1.83,0.03169627548773657,False,-1.0,0.010928961748633892
2025/26,2025-11-28,Oxford v Ipswich,OVER,0.5288565765754561,2.0,1.91,0.0577131531509123,True,1.0,0.04712041884816753
2025/26,2025-11-29,Coventry v Charlton,UNDER,0.4962143382754993,2.1,2.02,0.042050110378548666,False,-1.0,0.03960396039603964
2025/26,2025-11-29,Norwich v QPR,OVER,0.5433852221875973,2.0,1.81,0.08677044437519466,True,1.0,0.1049723756906078
2025/26,2025-11-29,Leicester v Sheffield United,UNDER,0.5682915853400123,1.83,1.84,0.039973601172222706,False,-1.0,-0.005434782608695676
2025/26,2025-12-01,Birmingham v Watford,OVER,0.5351811431116277,2.1,1.95,0.12388040053441807,True,1.1,0.0769230769230771
2025/26,2025-12-06,Southampton v Birmingham,OVER,0.5536333836418406,1.93,1.79,0.06851243042875232,True,0.9299999999999999,0.07821229050279332
2025/26,2025-12-06,Ipswich v Coventry,OVER,0.636265868585742,1.8,1.72,0.14527856345433565,True,0.8,0.04651162790697683
2025/26,2025-12-09,Preston v Coventry,OVER,0.5476485345154413,1.9,1.9,0.04053221557933839,False,-1.0,0.0
