Date,Season,HomeTeam,AwayTeam,total,over25,mkt_open,mkt_close,resid,xi_shots90_sum,xi_sot90_sum,xi_goals90_sum,xi_minshare_sum,xi_minshare_min
2024-11-22,2024/25,Plymouth,Watford,4.0,1,0.5572519083969466,0.565989847715736,0.434010152284264,22.409994690369036,8.723856097538349,3.3996268403435996,1.2236376664274211,0.5967645891226677
2024-11-23,2024/25,QPR,Stoke,2.0,0,0.4831168831168831,0.5,-0.5,24.867566956371377,7.246689784569929,1.5863544579986988,1.30375301666897,0.6354733405875952
2024-11-23,2024/25,West Brom,Norwich,4.0,1,0.4689119170984456,0.4961439588688946,0.5038560411311054,21.73323585994654,5.6774296509036635,2.0576122315164183,1.2748473294564586,0.5980776775205963
2024-11-23,2024/25,Sheffield Weds,Cardiff,2.0,0,0.4780361757105944,0.4743589743589744,-0.4743589743589744,28.606008657254456,9.774852025710334,2.5765407062919214,1.359026506899056,0.6580882352941176
2024-11-23,2024/25,Preston,Derby,2.0,0,0.44215938303341906,0.3762135922330097,-0.3762135922330097,20.37322959003984,6.245969721387031,2.2821588796324273,1.382536863850991,0.6750373692077728
2024-11-23,2024/25,Oxford,Middlesbrough,8.0,1,0.5116883116883117,0.5167095115681234,0.4832904884318766,28.883553832711485,12.868024794019833,3.8953318720935055,1.1531260350742043,0.5158406219630709
2024-11-23,2024/25,Millwall,Sunderland,2.0,0,0.3975,0.35377358490566035,-0.35377358490566035,19.773394841227855,7.364917885426922,2.1983962207401624,1.1716968646649928,0.48095703125
2024-11-23,2024/25,Coventry,Sheffield United,4.0,1,0.4613402061855671,0.45012787723785164,0.5498721227621484,22.397378956112817,7.354201185262327,1.6808081531158445,1.3396072748773786,0.6026772434308378
2024-11-23,2024/25,Bristol City,Burnley,1.0,0,0.406015037593985,0.40049751243781095,-0.40049751243781095,22.344363390322066,6.50374660269261,2.6698027917197322,1.3848896901740715,0.6207102952913008
2024-11-24,2024/25,Swansea,Leeds,7.0,1,0.45077720207253885,0.4564102564102564,0.5435897435897437,25.37535374950217,7.1675788608874935,1.3760482126989153,1.4419242813244746,0.6617831325301204
2024-11-26,2024/25,Watford,Bristol City,1.0,0,0.47814910025706947,0.493573264781491,-0.493573264781491,25.861375232558917,9.028009455679372,4.003850407025974,1.3002706028148632,0.6180760890991523
2024-11-26,2024/25,Stoke,Preston,0.0,0,0.45384615384615384,0.47948717948717956,-0.47948717948717956,24.329670084154277,10.713108351895766,4.039156713648513,1.3138445930885525,0.6230831315577078
2024-11-26,2024/25,Sheffield United,Oxford,3.0,1,0.4910025706940874,0.517948717948718,0.482051282051282,21.851601090979266,9.721461362787739,3.324424316046273,1.1190571496670556,0.5402298850574713
2024-11-26,2024/25,Sunderland,West Brom,0.0,0,0.42676767676767674,0.43037974683544306,-0.43037974683544306,23.59766199467058,5.620553701259137,1.7887655349225657,1.3053817085672672,0.6521016617790811
2024-11-26,2024/25,Burnley,Coventry,2.0,0,0.41813602015113355,0.41813602015113355,-0.41813602015113355,22.89696478940845,6.547041973491402,1.5769907957694078,1.2843042471472264,0.5992847918943082
2024-11-26,2024/25,Norwich,Plymouth,7.0,1,0.6049382716049383,0.5945273631840796,0.4054726368159204,16.760754686229166,6.573346270206267,2.593540087320222,1.1349880025257346,0.5592632933953857
2024-11-27,2024/25,Cardiff,QPR,2.0,0,0.46373056994818657,0.45268542199488493,-0.45268542199488493,23.943718432021996,7.293106980300168,1.499390162086621,1.4225679165301184,0.6988367507886435
2024-11-27,2024/25,Derby,Swansea,3.0,1,0.441860465116279,0.40648379052369077,0.5935162094763092,25.87441976014047,6.977318856038513,1.596483867455622,1.4266834515453772,0.6605504587155964
2024-11-27,2024/25,Middlesbrough,Blackburn,1.0,0,0.5567010309278351,0.5623409669211196,-0.5623409669211196,25.39964335029454,10.18817591897736,3.2032124043416044,1.273863721493601,0.5379924499080437
2024-11-29,2024/25,Sheffield United,Sunderland,1.0,0,0.39753086419753086,0.4170854271356784,-0.4170854271356784,24.697856160476523,7.289258983493122,2.7393293387040623,1.3650205221460228,0.671876545652389
2024-11-30,2024/25,Stoke,Burnley,2.0,0,0.43076923076923074,0.415,-0.415,23.65065255552652,7.470408434970695,2.106941782071986,1.4269874456685239,0.7007320933913732
2024-11-30,2024/25,Watford,QPR,0.0,0,0.49350649350649356,0.4961439588688946,-0.4961439588688946,24.183375517147795,8.08299818356822,2.5018771518315654,1.3350278185434177,0.6609551944854751
2024-11-30,2024/25,Swansea,Portsmouth,4.0,1,0.5168831168831169,0.4858611825192801,0.5141388174807199,26.761635815910587,10.258295842841314,5.285936678094533,1.3940116690778126,0.6005899705014749
2024-11-30,2024/25,Oxford,Millwall,2.0,0,0.40100250626566414,0.3848039215686275,-0.3848039215686275,22.22062959147248,10.367656645658109,2.451186681450776,1.260397378479918,0.5639915416372974
2024-11-30,2024/25,Preston,West Brom,2.0,0,0.4045226130653266,0.39753086419753086,-0.39753086419753086,22.529103278559283,5.698182652614616,1.7313314841893002,1.2974425396653928,0.6213875742624106
2024-11-30,2024/25,Middlesbrough,Hull,4.0,1,0.5848101265822784,0.5875,0.4125,23.489587225815434,9.340023109345987,4.286064650850097,1.1351162002498971,0.4997576345128454
2024-11-30,2024/25,Coventry,Cardiff,4.0,1,0.5271317829457364,0.5244215938303342,0.47557840616966585,25.974950361160733,8.53178575446863,1.771358939914507,1.264441724838375,0.6264595289926777
2024-11-30,2024/25,Bristol City,Plymouth,4.0,1,0.5644329896907216,0.5793450881612091,0.4206549118387909,21.777614133941853,6.104089657947593,2.1470487849515223,1.1548628212305343,0.46896346896346897
2024-11-30,2024/25,Blackburn,Leeds,1.0,0,0.4792746113989638,0.4717948717948718,-0.4717948717948718,24.08007180886796,6.695267359269032,1.2474904652769259,1.4971982660636747,0.7320409368234599
2024-11-30,2024/25,Norwich,Luton,6.0,1,0.5219638242894057,0.5163727959697733,0.48362720403022674,25.166155883841178,10.192288342739406,3.675627500297174,1.3201144069177448,0.6501203369434416
2024-12-01,2024/25,Derby,Sheffield Weds,3.0,1,0.423469387755102,0.3916256157635468,0.6083743842364532,21.297550296722967,5.986536689516086,2.690652312403477,1.3114793316980917,0.6129381646317448
2024-12-07,2024/25,Sunderland,Stoke,3.0,1,0.4845360824742268,0.5347043701799487,0.46529562982005135,25.548973581150833,7.04529206140081,1.3647101305878766,1.3762852029648007,0.6831247555729371
2024-12-07,2024/25,Sheffield Weds,Preston,2.0,0,0.4245524296675191,0.39753086419753086,-0.39753086419753086,24.677149173926225,6.578149514719203,2.2307197630532016,1.4297159377051418,0.6844453256666997
2024-12-07,2024/25,Portsmouth,Bristol City,3.0,1,0.49870129870129865,0.4564102564102564,0.5435897435897437,26.6812603890871,9.404878527953972,4.113690382765557,1.3699560155998007,0.638015717092338
