season,team,h_a,game_n,ppda,xg,xga,npxg,npxga,wins,draws,loses,ppda_rolling10
2014/15,Everton,a,32,12.62,0.842056,1.09678,0.842056,0.335615,0,1,0,9.26
2014/15,Everton,h,33,6.17,2.36114,1.06159,1.59997,1.06159,1,0,0,9.04
2014/15,Everton,h,34,16.44,1.07922,0.750462,1.07922,0.750462,1,0,0,9.36
2014/15,Everton,a,35,18.82,1.4049,1.56179,0.643736,1.56179,0,0,1,10.15
2014/15,Everton,h,36,4.71,1.14341,1.19799,1.14341,1.19799,0,0,1,9.51
2014/15,Everton,a,37,7.73,2.07078,0.813296,2.07078,0.813296,1,0,0,9.7
2014/15,Everton,h,38,10.8,0.646215,1.39049,0.646215,1.39049,0,0,1,9.88
2014/15,Hull,a,1,10.29,1.11757,1.90067,1.11757,1.12689,1,0,0,
2014/15,Hull,h,2,20.5,0.870175,1.60916,0.870175,1.60916,0,1,0,
2014/15,Hull,a,3,11.58,0.28888,0.639316,0.28888,0.639316,0,0,1,14.12
2014/15,Hull,h,4,7.38,0.439084,0.661678,0.439084,0.661678,0,1,0,12.44
2014/15,Hull,a,5,19.38,0.854291,1.91632,0.854291,1.91632,0,1,0,13.83
2014/15,Hull,h,6,21.3,1.12374,1.78953,0.362605,1.78953,0,0,1,15.07
2014/15,Hull,h,7,5.41,1.07209,0.616109,1.07209,0.616109,1,0,0,13.69
2014/15,Hull,a,8,44.0,0.552062,2.14845,0.552062,2.14845,0,1,0,17.48
2014/15,Hull,a,9,10.47,0.222999,0.678924,0.222999,0.678924,0,1,0,16.7
2014/15,Hull,h,10,25.62,0.256678,1.90484,0.256678,1.90484,0,0,1,17.59
2014/15,Hull,a,11,6.74,0.526656,1.10315,0.526656,1.10315,0,0,1,17.24
2014/15,Hull,h,12,13.33,0.94244,2.16438,0.94244,2.16438,0,0,1,16.52
2014/15,Hull,a,13,19.54,0.230407,1.76885,0.230407,1.76885,0,0,1,17.32
2014/15,Hull,a,14,8.81,0.29547,1.27965,0.29547,1.27965,0,1,0,17.46
2014/15,Hull,h,15,9.47,0.586305,1.06151,0.586305,0.300343,0,1,0,16.47
2014/15,Hull,a,16,10.71,0.435091,1.21862,0.435091,1.21862,0,0,1,15.41
2014/15,Hull,h,17,7.85,0.825885,1.45331,0.825885,1.45331,0,0,1,15.65
2014/15,Hull,a,18,13.4,0.85573,1.35551,0.85573,1.35551,1,0,0,12.59
2014/15,Hull,h,19,8.14,1.72314,0.180127,1.72314,0.180127,0,0,1,12.36
2014/15,Hull,h,20,7.69,1.95682,0.957698,1.95682,0.957698,1,0,0,10.57
2014/15,Hull,a,21,13.68,0.395844,0.784159,0.395844,0.784159,0,0,1,11.26
2014/15,Hull,a,22,11.78,0.423719,2.68629,0.423719,2.68629,0,0,1,11.11
2014/15,Hull,h,23,7.15,0.989377,0.50926,0.989377,0.50926,0,0,1,9.87
2014/15,Hull,a,24,28.25,1.13348,0.992526,1.13348,0.992526,0,1,0,11.81
2014/15,Hull,h,25,10.08,0.985975,0.423817,0.985975,0.423817,1,0,0,11.87
2014/15,Hull,h,26,6.42,1.09259,0.190631,1.09259,0.190631,1,0,0,11.44
2014/15,Hull,a,27,33.22,0.344489,0.895577,0.344489,0.895577,0,0,1,13.98
2014/15,Hull,h,28,11.42,1.3938,1.23136,1.3938,1.23136,0,1,0,13.78
